Country,Hidden_Channels,Learning_Rate,Weight_Decay,Accuracy,Perturbation_Type,Perturbation_Percentage
USA,64,0.001,1e-05,0.4560669456066946,None,0
USA,64,0.001,1e-05,0.4476987447698745,Even,0.05
USA,64,0.001,1e-05,0.4895397489539749,Concentrated,0.05
USA,64,0.001,1e-05,0.41841004184100417,Even,0.1
USA,64,0.001,1e-05,0.41841004184100417,Concentrated,0.1
USA,64,0.001,1e-05,0.4602510460251046,Even,0.15
USA,64,0.001,1e-05,0.4811715481171548,Concentrated,0.15
USA,64,0.001,1e-05,0.4602510460251046,Even,0.2
USA,64,0.001,1e-05,0.4811715481171548,Concentrated,0.2
USA,64,0.001,1e-05,0.39330543933054396,Even,0.25
USA,64,0.001,1e-05,0.41422594142259417,Concentrated,0.25
Brazil,64,0.001,1e-05,0.5185185185185185,None,0
Brazil,64,0.001,1e-05,0.2962962962962963,Even,0.05
Brazil,64,0.001,1e-05,0.3333333333333333,Concentrated,0.05
Brazil,64,0.001,1e-05,0.4074074074074074,Even,0.1
Brazil,64,0.001,1e-05,0.2222222222222222,Concentrated,0.1
Brazil,64,0.001,1e-05,0.3333333333333333,Even,0.15
Brazil,64,0.001,1e-05,0.5185185185185185,Concentrated,0.15
Brazil,64,0.001,1e-05,0.4074074074074074,Even,0.2
Brazil,64,0.001,1e-05,0.2222222222222222,Concentrated,0.2
Brazil,64,0.001,1e-05,0.4444444444444444,Even,0.25
Brazil,64,0.001,1e-05,0.2962962962962963,Concentrated,0.25
Europe,64,0.05,0.0001,0.475,None,0
Europe,64,0.05,0.0001,0.4375,Even,0.05
Europe,64,0.05,0.0001,0.4375,Concentrated,0.05
Europe,64,0.05,0.0001,0.4,Even,0.1
Europe,64,0.05,0.0001,0.4625,Concentrated,0.1
Europe,64,0.05,0.0001,0.45,Even,0.15
Europe,64,0.05,0.0001,0.4125,Concentrated,0.15
Europe,64,0.05,0.0001,0.3375,Even,0.2
Europe,64,0.05,0.0001,0.35,Concentrated,0.2
Europe,64,0.05,0.0001,0.425,Even,0.25
Europe,64,0.05,0.0001,0.3375,Concentrated,0.25
